Index|Chart|Weeks|Artist|Track|Date|Length
1116|1|8|MARIAH CAREY & BOYZ II MEN|One Sweet Day|01-20-1996|292
1117|1|7|MARIAH CAREY & BOYZ II MEN|One Sweet Day|01-13-1996|292
1118|1|6|MARIAH CAREY & BOYZ II MEN|One Sweet Day|01-06-1996|292
1119|1|5|MARIAH CAREY & BOYZ II MEN|One Sweet Day|12-30-1995|292
1120|1|4|MARIAH CAREY & BOYZ II MEN|One Sweet Day|12-23-1995|292
1121|1|3|MARIAH CAREY & BOYZ II MEN|One Sweet Day|12-16-1995|292
1122|1|2|MARIAH CAREY & BOYZ II MEN|One Sweet Day|12-09-1995|292
1123|1|1|MARIAH CAREY & BOYZ II MEN|One Sweet Day|12-02-1995|292
1124|1|1|WHITNEY HOUSTON|Exhale (Shoop Shoop)|11-25-1995|205
1125|1|8|MARIAH CAREY|Fantasy|11-18-1995|323
1126|1|7|MARIAH CAREY|Fantasy|11-11-1995|323
1127|1|6|MARIAH CAREY|Fantasy|11-04-1995|323
1128|1|5|MARIAH CAREY|Fantasy|10-28-1995|323
1129|1|4|MARIAH CAREY|Fantasy|10-21-1995|323
1130|1|3|MARIAH CAREY|Fantasy|10-14-1995|323
1131|1|2|MARIAH CAREY|Fantasy|10-07-1995|323
1132|1|1|MARIAH CAREY|Fantasy|09-30-1995|323
1133|1|6|COOLIO|Gangsta's Paradise|09-23-1995|229
1134|1|5|COOLIO|Gangsta's Paradise|09-16-1995|229
1135|1|4|COOLIO|Gangsta's Paradise|09-09-1995|229
1136|1|1|MICHAEL JACKSON|You Are Not Alone|09-02-1995|274
1137|1|10|SEAL|Kiss From A Rose|08-26-1995|290
1138|1|11|TLC|Waterfalls|08-19-1995|280
1139|1|10|TLC|Waterfalls|08-12-1995|280
1140|1|9|TLC|Waterfalls|08-05-1995|280
1141|1|8|TLC|Waterfalls|07-29-1995|280
1142|1|7|TLC|Waterfalls|07-22-1995|280
1143|1|6|TLC|Waterfalls|07-15-1995|280
1144|1|5|TLC|Waterfalls|07-08-1995|280
1145|1|12|BRYAN ADAMS|Have You Ever Really Loved A Woman|07-01-1995|239
1146|1|11|BRYAN ADAMS|Have You Ever Really Loved A Woman|06-24-1995|239
1147|1|10|BRYAN ADAMS|Have You Ever Really Loved A Woman|06-17-1995|239
1148|1|9|BRYAN ADAMS|Have You Ever Really Loved A Woman|06-10-1995|239
1149|1|8|BRYAN ADAMS|Have You Ever Really Loved A Woman|06-03-1995|239
1150|1|14|MONTELL JORDAN|This Is How We Do It|05-27-1995|236
1151|1|13|MONTELL JORDAN|This Is How We Do It|05-20-1995|236
1152|1|12|MONTELL JORDAN|This Is How We Do It|05-13-1995|236
1153|1|11|MONTELL JORDAN|This Is How We Do It|05-06-1995|236
1154|1|10|MONTELL JORDAN|This Is How We Do It|04-29-1995|236
1155|1|9|MONTELL JORDAN|This Is How We Do It|04-22-1995|236
1156|1|8|MONTELL JORDAN|This Is How We Do It|04-15-1995|236
1157|1|17|MADONNA|Take A Bow|04-08-1995|320
1158|1|16|MADONNA|Take A Bow|04-01-1995|320
1159|1|15|MADONNA|Take A Bow|03-25-1995|320
1160|1|14|MADONNA|Take A Bow|03-18-1995|320
1161|1|13|MADONNA|Take A Bow|03-11-1995|320
1162|1|12|MADONNA|Take A Bow|03-04-1995|320
1163|1|11|MADONNA|Take A Bow|02-25-1995|320
1164|1|15|TLC|Creep|02-18-1995|270
1165|1|14|TLC|Creep|02-11-1995|270
1166|1|13|TLC|Creep|02-04-1995|270
1167|1|12|TLC|Creep|01-28-1995|270
1168|1|10|BOYZ II MEN|On Bended Knee|01-21-1995|328
1169|1|9|BOYZ II MEN|On Bended Knee|01-14-1995|328
1170|1|8|BOYZ II MEN|On Bended Knee|01-07-1995|328
1171|1|7|BOYZ II MEN|On Bended Knee|12-31-1994|328
1172|1|15|INI KAMOZE|Here Comes The Hotstepper|12-24-1994|249
1173|1|14|INI KAMOZE|Here Comes The Hotstepper|12-17-1994|249
1174|1|4|BOYZ II MEN|On Bended Knee|12-10-1994|328
1175|1|3|BOYZ II MEN|On Bended Knee|12-03-1994|328
1176|1|16|BOYZ II MEN|I'll Make Love To You|11-26-1994|238
1177|1|15|BOYZ II MEN|I'll Make Love To You|11-19-1994|238
1178|1|14|BOYZ II MEN|I'll Make Love To You|11-12-1994|238
1179|1|13|BOYZ II MEN|I'll Make Love To You|11-05-1994|238
1180|1|12|BOYZ II MEN|I'll Make Love To You|10-29-1994|238
1181|1|11|BOYZ II MEN|I'll Make Love To You|10-22-1994|238
1182|1|10|BOYZ II MEN|I'll Make Love To You|10-15-1994|238
1183|1|9|BOYZ II MEN|I'll Make Love To You|10-08-1994|238
1184|1|8|BOYZ II MEN|I'll Make Love To You|10-01-1994|238
1185|1|7|BOYZ II MEN|I'll Make Love To You|09-24-1994|238
1186|1|6|BOYZ II MEN|I'll Make Love To You|09-17-1994|238
1187|1|5|BOYZ II MEN|I'll Make Love To You|09-10-1994|238
1188|1|4|BOYZ II MEN|I'll Make Love To You|09-03-1994|238
1189|1|3|BOYZ II MEN|I'll Make Love To You|08-27-1994|238
1190|1|16|LISA LOEB & NINE STORIES|Stay (I Missed You)|08-20-1994|184
1191|1|15|LISA LOEB & NINE STORIES|Stay (I Missed You)|08-13-1994|184
1192|1|14|LISA LOEB & NINE STORIES|Stay (I Missed You)|08-06-1994|184
1193|1|15|ALL-4-ONE|I Swear|07-30-1994|224
1194|1|14|ALL-4-ONE|I Swear|07-23-1994|224
1195|1|13|ALL-4-ONE|I Swear|07-16-1994|224
1196|1|12|ALL-4-ONE|I Swear|07-09-1994|224
1197|1|11|ALL-4-ONE|I Swear|07-02-1994|224
1198|1|10|ALL-4-ONE|I Swear|06-25-1994|224
1199|1|9|ALL-4-ONE|I Swear|06-18-1994|224
1200|1|8|ALL-4-ONE|I Swear|06-11-1994|224
1201|1|7|ALL-4-ONE|I Swear|06-04-1994|224
1202|1|6|ALL-4-ONE|I Swear|05-28-1994|224
1203|1|5|ALL-4-ONE|I Swear|05-21-1994|224
1204|1|20|ACE OF BASE|The Sign|05-14-1994|189
1205|1|19|ACE OF BASE|The Sign|05-07-1994|189
1206|1|13|R. KELLY|Bump'N'Grind|04-30-1994|253
1207|1|12|R. KELLY|Bump'N'Grind|04-23-1994|253
1208|1|11|R. KELLY|Bump'N'Grind|04-16-1994|253
1209|1|10|R. KELLY|Bump'N'Grind|04-09-1994|253
1210|1|14|ACE OF BASE|The Sign|04-02-1994|189
1211|1|13|ACE OF BASE|The Sign|03-26-1994|189
1212|1|12|ACE OF BASE|The Sign|03-19-1994|189
1213|1|11|ACE OF BASE|The Sign|03-12-1994|189
1214|1|15|CELINE DION|The Power Of Love|03-05-1994|343
1215|1|14|CELINE DION|The Power Of Love|02-26-1994|343
1216|1|13|CELINE DION|The Power Of Love|02-19-1994|343
1217|1|12|CELINE DION|The Power Of Love|02-12-1994|343
1218|1|11|BRYAN ADAMS / ROD STEWART / STING|All For Love|02-05-1994|285
1219|1|10|BRYAN ADAMS / ROD STEWART / STING|All For Love|01-29-1994|285
1220|1|9|BRYAN ADAMS / ROD STEWART / STING|All For Love|01-22-1994|285
1221|1|13|MARIAH CAREY|Hero|01-15-1994|261
1222|1|12|MARIAH CAREY|Hero|01-08-1994|261
1223|1|11|MARIAH CAREY|Hero|01-01-1994|261
1224|1|10|MARIAH CAREY|Hero|12-25-1993|261
1225|1|9|JANET JACKSON|Again|12-18-1993|233
1226|1|8|JANET JACKSON|Again|12-11-1993|233
1227|1|12|MEAT LOAF|I'd Do Anything For Love (But I Won't Do That)|12-04-1993|472
1228|1|11|MEAT LOAF|I'd Do Anything For Love (But I Won't Do That)|11-27-1993|472
1229|1|10|MEAT LOAF|I'd Do Anything For Love (But I Won't Do That)|11-20-1993|472
1230|1|9|MEAT LOAF|I'd Do Anything For Love (But I Won't Do That)|11-13-1993|472
1231|1|8|MEAT LOAF|I'd Do Anything For Love (But I Won't Do That)|11-06-1993|472
1232|1|13|MARIAH CAREY|Dreamlover|10-30-1993|234
1233|1|12|MARIAH CAREY|Dreamlover|10-23-1993|234
1234|1|11|MARIAH CAREY|Dreamlover|10-16-1993|234
1235|1|10|MARIAH CAREY|Dreamlover|10-09-1993|234
1236|1|9|MARIAH CAREY|Dreamlover|10-02-1993|234
1237|1|8|MARIAH CAREY|Dreamlover|09-25-1993|234
1238|1|7|MARIAH CAREY|Dreamlover|09-18-1993|234
1239|1|6|MARIAH CAREY|Dreamlover|09-11-1993|234
1240|1|17|UB40|Can't Help Falling In Love (From "Sliver")|09-04-1993|363
1241|1|16|UB40|Can't Help Falling In Love (From "Sliver")|08-28-1993|363
1242|1|15|UB40|Can't Help Falling In Love (From "Sliver")|08-21-1993|363
1243|1|14|UB40|Can't Help Falling In Love (From "Sliver")|08-14-1993|363
1244|1|13|UB40|Can't Help Falling In Love (From "Sliver")|08-07-1993|363
1245|1|12|UB40|Can't Help Falling In Love (From "Sliver")|07-31-1993|363
1246|1|11|UB40|Can't Help Falling In Love (From "Sliver")|07-24-1993|363
1247|1|13|SWV|Weak|07-17-1993|296
1248|1|12|SWV|Weak|07-10-1993|296
1249|1|10|JANET JACKSON|That's The Way Love Goes|07-03-1993|384
1250|1|9|JANET JACKSON|That's The Way Love Goes|06-26-1993|384
1251|1|8|JANET JACKSON|That's The Way Love Goes|06-19-1993|384
1252|1|7|JANET JACKSON|That's The Way Love Goes|06-12-1993|384
1253|1|6|JANET JACKSON|That's The Way Love Goes|06-05-1993|384
1254|1|5|JANET JACKSON|That's The Way Love Goes|05-29-1993|384
1255|1|4|JANET JACKSON|That's The Way Love Goes|05-22-1993|384
1256|1|3|JANET JACKSON|That's The Way Love Goes|05-15-1993|384
1257|1|12|SILK|Freak Me|05-08-1993|275
1258|1|11|SILK|Freak Me|05-01-1993|275
1259|1|16|SNOW|Informer|04-24-1993|217
1260|1|15|SNOW|Informer|04-17-1993|217
1261|1|14|SNOW|Informer|04-10-1993|217
1262|1|13|SNOW|Informer|04-03-1993|217
1263|1|12|SNOW|Informer|03-27-1993|217
1264|1|11|SNOW|Informer|03-20-1993|217
1265|1|10|SNOW|Informer|03-13-1993|217
1266|1|12|PEABO BRYSON|A Whole New World (Aladdin's Theme)|03-06-1993|242
1267|1|16|WHITNEY HOUSTON|I Will Always Love You|02-27-1993|594
1268|1|15|WHITNEY HOUSTON|I Will Always Love You|02-20-1993|594
1269|1|14|WHITNEY HOUSTON|I Will Always Love You|02-13-1993|594
1270|1|13|WHITNEY HOUSTON|I Will Always Love You|02-06-1993|594
1271|1|12|WHITNEY HOUSTON|I Will Always Love You|01-30-1993|594
1272|1|11|WHITNEY HOUSTON|I Will Always Love You|01-23-1993|594
1273|1|10|WHITNEY HOUSTON|I Will Always Love You|01-16-1993|594
1274|1|9|WHITNEY HOUSTON|I Will Always Love You|01-09-1993|594
1275|1|8|WHITNEY HOUSTON|I Will Always Love You|01-02-1993|594
1276|1|7|WHITNEY HOUSTON|I Will Always Love You|12-26-1992|594
1277|1|6|WHITNEY HOUSTON|I Will Always Love You|12-19-1992|594
1278|1|5|WHITNEY HOUSTON|I Will Always Love You|12-12-1992|594
1279|1|4|WHITNEY HOUSTON|I Will Always Love You|12-05-1992|594
1280|1|3|WHITNEY HOUSTON|I Will Always Love You|11-28-1992|594
1281|1|8|THE HEIGHTS|How Do You Talk To An Angel|11-21-1992|206
1282|1|7|THE HEIGHTS|How Do You Talk To An Angel|11-14-1992|206
1283|1|17|BOYZ II MEN|End Of The Road|11-07-1992|350
1284|1|16|BOYZ II MEN|End Of The Road|10-31-1992|350
1285|1|15|BOYZ II MEN|End Of The Road|10-24-1992|350
1286|1|14|BOYZ II MEN|End Of The Road|10-17-1992|350
1287|1|13|BOYZ II MEN|End Of The Road|10-10-1992|350
1288|1|12|BOYZ II MEN|End Of The Road|10-03-1992|350
1289|1|11|BOYZ II MEN|End Of The Road|09-26-1992|350
1290|1|10|BOYZ II MEN|End Of The Road|09-19-1992|350
1291|1|9|BOYZ II MEN|End Of The Road|09-12-1992|350
1292|1|8|BOYZ II MEN|End Of The Road|09-05-1992|350
1293|1|7|BOYZ II MEN|End Of The Road|08-29-1992|350
1294|1|6|BOYZ II MEN|End Of The Road|08-22-1992|350
1295|1|5|BOYZ II MEN|End Of The Road|08-15-1992|350
1296|1|6|MADONNA|This Used To Be My Playground|08-08-1992|416
1297|1|17|SIR MIX-A-LOT|Baby Got Back|08-01-1992|304
1298|1|16|SIR MIX-A-LOT|Baby Got Back|07-25-1992|304
1299|1|15|SIR MIX-A-LOT|Baby Got Back|07-18-1992|304
1300|1|14|SIR MIX-A-LOT|Baby Got Back|07-11-1992|304
1301|1|13|SIR MIX-A-LOT|Baby Got Back|07-04-1992|304
1302|1|5|MARIAH CAREY|I'll Be There|06-27-1992|261
1303|1|4|MARIAH CAREY|I'll Be There|06-20-1992|261
1304|1|11|KRIS KROSS|Jump|06-13-1992|213
1305|1|10|KRIS KROSS|Jump|06-06-1992|213
1306|1|9|KRIS KROSS|Jump|05-30-1992|213
1307|1|8|KRIS KROSS|Jump|05-23-1992|213
1308|1|7|KRIS KROSS|Jump|05-16-1992|213
1309|1|6|KRIS KROSS|Jump|05-09-1992|213
1310|1|5|KRIS KROSS|Jump|05-02-1992|213
1311|1|4|KRIS KROSS|Jump|04-25-1992|213
1312|1|12|VANESSA WILLIAMS|Save The Best For Last|04-18-1992|219
1313|1|11|VANESSA WILLIAMS|Save The Best For Last|04-11-1992|219
1314|1|10|VANESSA WILLIAMS|Save The Best For Last|04-04-1992|219
1315|1|9|VANESSA WILLIAMS|Save The Best For Last|03-28-1992|219
1316|1|8|VANESSA WILLIAMS|Save The Best For Last|03-21-1992|219
1317|1|13|MR. BIG|To Be With You|03-14-1992|212
1318|1|12|MR. BIG|To Be With You|03-07-1992|212
1319|1|11|MR. BIG|To Be With You|02-29-1992|212
1320|1|10|RIGHT SAID FRED|I'm Too Sexy|02-22-1992|324
1321|1|9|RIGHT SAID FRED|I'm Too Sexy|02-15-1992|324
1322|1|8|RIGHT SAID FRED|I'm Too Sexy|02-08-1992|324
1323|1|9|GEORGE MICHAEL & ELTON JOHN|Don't Let The Sun Go Down On Me|02-01-1992|350
1324|1|12|COLOR ME BADD|All 4 Love|01-25-1992|211
1325|1|9|MICHAEL JACKSON|Black Or White|01-18-1992|202
1326|1|8|MICHAEL JACKSON|Black Or White|01-11-1992|202
1327|1|7|MICHAEL JACKSON|Black Or White|01-04-1992|202
1328|1|6|MICHAEL JACKSON|Black Or White|12-28-1991|202
1329|1|5|MICHAEL JACKSON|Black Or White|12-21-1991|202
1330|1|4|MICHAEL JACKSON|Black Or White|12-14-1991|202
1331|1|3|MICHAEL JACKSON|Black Or White|12-07-1991|202
1332|1|7|P.M. DAWN|Set Adrift On Memory Drift|11-30-1991|238
1333|1|7|MICHAEL BOLTON|When A Man Loves A Woman|11-23-1991|231
1334|1|8|PRINCE & THE N.P.G.|Cream|11-16-1991|500
1335|1|7|PRINCE & THE N.P.G.|Cream|11-09-1991|500
1336|1|12|KARYN WHITE|Romantic|11-02-1991|247
1340|1|12|MARKY MARK & THE FUNKY BUNCH|Good Vibrations|10-05-1991|304
1341|1|10|COLOR ME BADD|I Adore Mi Amor|09-28-1991|288
1342|1|9|COLOR ME BADD|I Adore Mi Amor|09-21-1991|288
1343|1|9|PAULA ABDUL|The Promise Of A New Day|09-14-1991|253
1344|1|11|BRYAN ADAMS|(Everything I Do) I Do It For You|09-07-1991|442
1345|1|10|BRYAN ADAMS|(Everything I Do) I Do It For You|08-31-1991|442
1346|1|9|BRYAN ADAMS|(Everything I Do) I Do It For You|08-24-1991|442
1347|1|8|BRYAN ADAMS|(Everything I Do) I Do It For You|08-17-1991|442
1348|1|7|BRYAN ADAMS|(Everything I Do) I Do It For You|08-10-1991|442
1349|1|6|BRYAN ADAMS|(Everything I Do) I Do It For You|08-03-1991|442
1350|1|5|BRYAN ADAMS|(Everything I Do) I Do It For You|07-27-1991|442
1351|1|15|EMF|Unbelievable|07-20-1991|314
1352|1|10|PAULA ABDUL|Rush Rush|07-13-1991|356
1353|1|9|PAULA ABDUL|Rush Rush|07-06-1991|356
1354|1|8|PAULA ABDUL|Rush Rush|06-29-1991|356
1355|1|7|PAULA ABDUL|Rush Rush|06-22-1991|356
1356|1|6|PAULA ABDUL|Rush Rush|06-15-1991|356
1357|1|12|EXTREME|More Than Words|06-08-1991|251
1358|1|9|MARIAH CAREY|I Don't Wanna Cry|06-01-1991|288
1359|1|8|MARIAH CAREY|I Don't Wanna Cry|05-25-1991|288
1360|1|13|HI-FIVE|I Like The Way|05-18-1991|234
1361|1|11|ROXETTE|Joyride|05-11-1991|371
1362|1|11|AMY GRANT|Baby Baby|05-04-1991|295
1363|1|10|AMY GRANT|Baby Baby|04-27-1991|295
1364|1|11|WILSON PHILLIPS|You're In Love|04-20-1991|275
1365|1|10|LONDONBEAT|I've Been Thinking About You|04-13-1991|319
1366|1|11|GLORIA ESTEFAN|Coming Out Of The Dark|04-06-1991|245
1367|1|10|GLORIA ESTEFAN|Coming Out Of The Dark|03-30-1991|245
1368|1|14|TIMMY T|One More Try|03-23-1991|212
1369|1|9|MARIAH CAREY|Someday|03-16-1991|240
1370|1|8|MARIAH CAREY|Someday|03-09-1991|240
1371|1|11|WHITNEY HOUSTON|All The Man That I Need|03-02-1991|237
1372|1|10|WHITNEY HOUSTON|All The Man That I Need|02-23-1991|237
1373|1|14|C&C MUSIC FACTORY|Gonna Make You Sweat|02-16-1991|244
1374|1|13|C&C MUSIC FACTORY|Gonna Make You Sweat|02-09-1991|244
1375|1|14|SURFACE|The First Time|02-02-1991|256
1376|1|13|SURFACE|The First Time|01-26-1991|256
1377|1|10|JANET JACKSON|Love Will Never Do|01-19-1991|385
1378|1|9|MADONNA|Justify My Love|01-12-1991|300
1379|1|8|MADONNA|Justify My Love|01-05-1991|300
1380|1|13|STEVIE B|Because I Love You|12-29-1990|304
1381|1|12|STEVIE B|Because I Love You|12-22-1990|304
1382|1|11|STEVIE B|Because I Love You|12-15-1990|304
1383|1|10|STEVIE B|Because I Love You|12-08-1990|304
1384|1|7|WHITNEY HOUSTON|I'm Your Baby Tonight|12-01-1990|256
1385|1|11|MARIAH CAREY|Love Takes Time|11-24-1990|228
1386|1|10|MARIAH CAREY|Love Takes Time|11-17-1990|228
1387|1|9|MARIAH CAREY|Love Takes Time|11-10-1990|228
1388|1|9|VANILLA ICE|Ice Ice Baby|11-03-1990|301
1389|1|7|JANET JACKSON|Black Cat|10-27-1990|271
1390|1|12|JAMES INGRAM|I Don't Have The Heart|10-20-1990|249
1391|1|7|GEORGE MICHAEL|Praying For Time|10-13-1990|322
1392|1|15|MAXI PRIEST|Close To You|10-06-1990|243
1393|1|13|NELSON|(Can't Live Without Your) Love And Affection|09-29-1990|232
1394|1|13|WILSON PHILLIPS|Release Me|09-22-1990|278
1395|1|12|WILSON PHILLIPS|Release Me|09-15-1990|278
1396|1|8|JON BON JOVI|Blaze Of Glory|09-08-1990|349
1397|1|12|SWEET SENSATION|If Wishes Came True|09-01-1990|315
1398|1|13|MARIAH CAREY|Vision Of Love|08-25-1990|208
1399|1|12|MARIAH CAREY|Vision Of Love|08-18-1990|208
1400|1|11|MARIAH CAREY|Vision Of Love|08-11-1990|208
1401|1|10|MARIAH CAREY|Vision Of Love|08-04-1990|208
1402|1|11|GLENN MEDEIROS|She Ain't Worth It|07-28-1990|216
1403|1|10|GLENN MEDEIROS|She Ain't Worth It|07-21-1990|216
1404|1|8|NEW KIDS ON THE BLOCK|Step By Step|07-14-1990|268
1405|1|7|NEW KIDS ON THE BLOCK|Step By Step|07-07-1990|268
1406|1|6|NEW KIDS ON THE BLOCK|Step By Step|06-30-1990|268
1407|1|12|ROXETTE|It Must Have Been Love|06-23-1990|330
1408|1|11|ROXETTE|It Must Have Been Love|06-16-1990|330
1409|1|13|WILSON PHILLIPS|Hold On|06-09-1990|262
1410|1|8|MADONNA|Vogue|06-02-1990|264
1411|1|7|MADONNA|Vogue|05-26-1990|264
1412|1|6|MADONNA|Vogue|05-19-1990|264
1417|1|9|TOMMY PAGE|I'll Be Your Everything|04-14-1990|248
1418|1|11|TAYLOR DAYNE|Love Will Lead You Back|04-07-1990|278
1419|1|14|ALANNAH MYLES|Black Velvet|03-31-1990|241
1420|1|13|ALANNAH MYLES|Black Velvet|03-24-1990|241
1421|1|9|JANET JACKSON|Escapade|03-17-1990|284
1422|1|8|JANET JACKSON|Escapade|03-10-1990|284
1423|1|7|JANET JACKSON|Escapade|03-03-1990|284
1424|1|11|PAULA ABDUL|Opposites Attract|02-24-1990|275
1425|1|10|PAULA ABDUL|Opposites Attract|02-17-1990|275
1426|1|9|PAULA ABDUL|Opposites Attract|02-10-1990|275
1427|1|15|MICHAEL BOLTON|How Am I Supposed To Live Without You|02-03-1990|255
1428|1|14|MICHAEL BOLTON|How Am I Supposed To Live Without You|01-27-1990|255
1429|1|13|MICHAEL BOLTON|How Am I Supposed To Live Without You|01-20-1990|255
1430|1|11|PHIL COLLINS|Another Day In Paradise|01-13-1990|322
1431|1|10|PHIL COLLINS|Another Day In Paradise|01-06-1990|322
1432|1|9|PHIL COLLINS|Another Day In Paradise|12-30-1989|322
1433|1|8|PHIL COLLINS|Another Day In Paradise|12-23-1989|322
1434|1|10|BILLY JOEL|We Didn't Start The Fire|12-16-1989|269
1435|1|9|BILLY JOEL|We Didn't Start The Fire|12-09-1989|269
1436|1|9|MILLI VANILLI|Blame It On The Rain|12-02-1989|249
1437|1|8|MILLI VANILLI|Blame It On The Rain|11-25-1989|249
1438|1|10|BAD ENGLISH|When I See You Smile|11-18-1989|259
1439|1|9|BAD ENGLISH|When I See You Smile|11-11-1989|259
1440|1|11|ROXETTE|Listen To Your Heart|11-04-1989|318
1441|1|9|JANET JACKSON|Miss You Much|10-28-1989|236
1442|1|8|JANET JACKSON|Miss You Much|10-21-1989|236
1443|1|7|JANET JACKSON|Miss You Much|10-14-1989|236
1444|1|6|JANET JACKSON|Miss You Much|10-07-1989|236
1445|1|9|MILLI VANILLI|Girl I'm Gonna Miss You|09-30-1989|399
1446|1|8|MILLI VANILLI|Girl I'm Gonna Miss You|09-23-1989|399
1447|1|11|GLORIA ESTEFAN|Don't Wanna Lose You|09-16-1989|246
1448|1|9|NEW KIDS ON THE BLOCK|Hangin' Tough|09-09-1989|231
1449|1|11|PAULA ABDUL|Cold Hearted|09-02-1989|238
1450|1|8|RICHARD MARX|Right Here Waiting|08-26-1989|246
1451|1|7|RICHARD MARX|Right Here Waiting|08-19-1989|246
1452|1|6|RICHARD MARX|Right Here Waiting|08-12-1989|246
1453|1|8|PRINCE|Batdance|08-05-1989|440
1454|1|11|MARTIKA|Toy Soldiers|07-29-1989|292
1455|1|10|MARTIKA|Toy Soldiers|07-22-1989|292
1456|1|11|SIMPLY RED|If You Don't Know Me By Now|07-15-1989|202
1457|1|10|FINE YOUNG CANNIBALS|Good Thing|07-08-1989|206
1458|1|10|MILLI VANILLI|Baby Don't Forget My Number|07-01-1989|297
1459|1|8|RICHARD MARX|Satisfied|06-24-1989|253
1460|1|12|NEW KIDS ON THE BLOCK|I'll Be Loving You|06-17-1989|233
1462|1|12|MICHAEL DAMIAN|Rock On|06-03-1989|202
1463|1|12|PAULA ABDUL|Forever Your Girl|05-27-1989|255
1464|1|11|PAULA ABDUL|Forever Your Girl|05-20-1989|255
1465|1|11|BON JOVI|I'll Be There For You|05-13-1989|392
1466|1|8|MADONNA|Like A Prayer|05-06-1989|369
1467|1|7|MADONNA|Like A Prayer|04-29-1989|369
1468|1|6|MADONNA|Like A Prayer|04-22-1989|369
1469|1|12|FINE YOUNG CANIBALS|She Drives Me Crazy|04-15-1989|333
1470|1|9|ROXETTE|The Look|04-08-1989|312
1471|1|9|BANGLES|Eternal Flame|04-01-1989|228
1472|1|12|MIKE & THE MECHANICS|The Living Years|03-25-1989|331
1476|1|13|PAULA ABDUL|Straight Up|02-25-1989|230
1477|1|12|PAULA ABDUL|Straight Up|02-18-1989|230
1478|1|11|PAULA ABDUL|Straight Up|02-11-1989|230
1479|1|11|SHERIFF|When I'm With You|02-04-1989|235
1480|1|11|PHIL COLLINS|Two Hearts|01-28-1989|204
1481|1|10|PHIL COLLINS|Two Hearts|01-21-1989|204
1482|1|13|BOBBY BROWN|My Prerogative|01-14-1989|274
1483|1|11|POISON|Every Rose Has Its Thorn|01-07-1989|226
1484|1|10|POISON|Every Rose Has Its Thorn|12-31-1988|226
1485|1|9|POISON|Every Rose Has Its Thorn|12-24-1988|226
1486|1|13|CHICAGO|Look Away|12-17-1988|243
1487|1|12|CHICAGO|Look Away|12-10-1988|243
1488|1|13|WILL TO POWER|Baby, I Love Your Way / Freebird Medley|12-03-1988|247
1489|1|10|BON JOVI|Bad Medicine|11-26-1988|354
1490|1|9|BON JOVI|Bad Medicine|11-19-1988|354
1491|1|13|THE ESCAPE CLUB|Wild, Wild West|11-12-1988|474
1493|1|9|PHIL COLLINS|Groovy Kind Of Love|10-29-1988|210
1494|1|8|PHIL COLLINS|Groovy Kind Of Love|10-22-1988|210
1495|1|10|UB40|Red Red Wine|10-15-1988|251
1496|1|9|DEF LEPPARD|Love Bites|10-08-1988|346
1497|1|10|BOBBY McFERRIN|Don't Worry, Be Happy|10-01-1988|290
1498|1|9|BOBBY McFERRIN|Don't Worry, Be Happy|09-24-1988|290
1499|1|13|GUNS N'ROSES|Sweet Child O'Mine|09-17-1988|543
1500|1|12|GUNS N'ROSES|Sweet Child O'Mine|09-10-1988|543
1501|1|9|GEORGE MICHAEL|Monkey|09-03-1988|220
1502|1|8|GEORGE MICHAEL|Monkey|08-27-1988|220
1503|1|11|STEVE WINWOOD|Roll With It|08-20-1988|270
1504|1|10|STEVE WINWOOD|Roll With It|08-13-1988|270
1505|1|9|STEVE WINWOOD|Roll With It|08-06-1988|270
1506|1|8|STEVE WINWOOD|Roll With It|07-30-1988|270
1507|1|10|RICHARD MARX|Hold On To The Nights|07-23-1988|286
1508|1|15|CHEAP TRICK|The Flame|07-16-1988|270
1509|1|14|CHEAP TRICK|The Flame|07-09-1988|270
1510|1|9|MICHAEL JACKSON|Dirty Diana|07-02-1988|282
1511|1|10|DEBBIE GIBSON|Foolish Beat|06-25-1988|406
1512|1|10|RICK ASTLEY|Together Forever|06-18-1988|200
1513|1|9|GEORGE MICHAEL|One More Try|06-11-1988|350
1514|1|8|GEORGE MICHAEL|One More Try|06-04-1988|350
1515|1|7|GEORGE MICHAEL|One More Try|05-28-1988|350
1516|1|11|GLORIA ESTEFAN & MIAMI SOUND MACHINE|Anything For You|05-21-1988|242
1517|1|10|GLORIA ESTEFAN & MIAMI SOUND MACHINE|Anything For You|05-14-1988|242
1518|1|17|TERENCE TRENT D'ARBY|Wishing Well|05-07-1988|470
1519|1|10|WHITNEY HOUSTON|Where Do Broken Hearts Go|04-30-1988|277
1520|1|9|WHITNEY HOUSTON|Where Do Broken Hearts Go|04-23-1988|277
1521|1|10|BILLY OCEAN|Get Outta My Dreams, Get Into My Car|04-16-1988|539
1522|1|9|BILLY OCEAN|Get Outta My Dreams, Get Into My Car|04-09-1988|539
1523|1|9|MICHAEL JACKSON|Man In The Mirror|04-02-1988|304
1524|1|8|MICHAEL JACKSON|Man In The Mirror|03-26-1988|304
1525|1|14|RICK ASTLEY|Never Gonna Give You Up|03-19-1988|379
1526|1|13|RICK ASTLEY|Never Gonna Give You Up|03-12-1988|379
1527|1|8|GEORGE MICHAEL|Father Figure|03-05-1988|338
1528|1|7|GEORGE MICHAEL|Father Figure|02-27-1988|338
1529|1|13|EXPOSE|Seasons Change|02-20-1988|255
1530|1|12|TIFFANY|Could've Been|02-13-1988|214
